"Comment","Designator","Footprint","LCSC Part #"
"U.FL-R-SMT-1 Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","ANT1","U.FL_Hirose_U.FL-R-SMT-1_Vertical","C88374"
"0.8pF Unpolarized capacitor, small symbol","C1","C_0402_1005Metric","C326068"
"12pF Unpolarized capacitor, small symbol","C2,C3","C_0402_1005Metric","C1547"
"100nF Unpolarized capacitor, small symbol","C4,C5,C9,C8","C_0402_1005Metric","C1525"
"4.7uF Unpolarized capacitor, small symbol","C6","C_0603_1608Metric","C8032"
"1uF Unpolarized capacitor, small symbol","C7,C11,C10","C_0603_1608Metric","C1592"
"MBR0520 Schottky diode","D1","D_SOD-123","C475717"
"LED Light emitting diode","D2","LED_0603_1608Metric","C2286"
"3.9nH Inductor","L1","L_0402_1005Metric","C14033"
"USB-C USB 2.0-only Type-C Plug connector","P1","TYPE-C16PIN","C393939"
"5.1K Resistor","R1,R2","R_0402_1005Metric","C25905"
"1.5K Resistor","R3","R_0402_1005Metric","C25867"
"Reset button Push button switch, generic, two pins","SW1","TS-1088R-02526","C455281"
"CH552E (or CH554E) ","U1","MSOP-10_3x3mm_P0.5mm","C111293"
"nRF52810-QCxx ","U2","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","C519278"
"AP2112K-3.3 150mA low dropout linear regulator, wide input voltage range, 1.5V fixed positive output, SOT-23-5","U3","SOT-23-5","C51118"
"32MHz Four pin crystal, GND on pins 2 and 4","Y1","Crystal_SMD_2016-4Pin_2.0x1.6mm","C254298"
