Designator,Mid X,Mid Y,Layer,Rotation
ANT1,85.364401mm,-79.814810mm,Top,0
ANT1,85.364401mm,-58.815601mm,Top,0
C1,78.346401mm,-60.132001mm,Top,270
C1,78.346401mm,-81.131210mm,Top,270
C2,82.410401mm,-55.024121mm,Top,270
C2,82.410401mm,-76.023330mm,Top,270
C3,78.178761mm,-56.080761mm,Top,270
C3,78.178761mm,-77.079970mm,Top,270
C4,72.021801mm,-64.119801mm,Top,90
C4,72.021801mm,-85.119010mm,Top,90
C5,76.593801mm,-55.613401mm,Top,180
C5,76.593801mm,-76.612610mm,Top,180
C6,71.107401mm,-54.864401mm,Top,270
C6,71.107401mm,-75.863610mm,Top,270
C7,72.885401mm,-75.837610mm,Top,270
C7,72.885401mm,-54.838401mm,Top,270
C8,59.779001mm,-63.665201mm,Top,270
C8,59.779001mm,-84.664410mm,Top,270
C9,59.779001mm,-82.403810mm,Top,90
C9,59.779001mm,-61.404601mm,Top,90
C10,62.725401mm,-77.997210mm,Top,90
C10,62.725401mm,-56.998001mm,Top,90
C11,68.313401mm,-77.107610mm,Top,270
C11,68.313401mm,-56.108401mm,Top,270
D1,60.439401mm,-77.120610mm,Top,270
D1,60.439401mm,-56.121401mm,Top,270
D2,85.915701mm,-75.698210mm,Top,180
D2,85.915701mm,-54.699001mm,Top,180
L1,79.949001mm,-81.616410mm,Top,180
L1,79.949001mm,-60.617201mm,Top,180
P1,56.913001mm,-80.390610mm,Top,270
P1,56.913001mm,-59.391401mm,Top,270
R1,53.835401mm,-73.310610mm,Top,0
R1,53.835401mm,-52.311401mm,Top,0
R2,53.773401mm,-66.501401mm,Top,0
R2,53.773401mm,-87.500610mm,Top,0
R3,83.756601mm,-54.495801mm,Top,90
R3,83.756601mm,-75.495010mm,Top,90
SW1,84.366201mm,-63.868401mm,Top,0
SW1,84.366201mm,-84.867610mm,Top,0
U1,63.741401mm,-62.369801mm,Top,180
U1,63.741401mm,-83.369010mm,Top,180
U2,74.185001mm,-59.645401mm,Top,0
U2,74.185001mm,-80.644610mm,Top,0
U3,65.570201mm,-56.578601mm,Top,270
U3,65.570201mm,-77.577810mm,Top,270
Y1,80.291001mm,-77.071170mm,Top,0
Y1,80.291001mm,-56.071961mm,Top,0
